univ_name,semester,total_courses_demanded,courses_scheduled,bottleneck_severity,final_status,llm_retries,z3_latency_ms,total_cycle_time_ms
Univ_A_Centralized,1,80,80,0.0,FALLBACK_OPTIMIZED,3,9.276499971747398,291147.4564000382
Univ_A_Centralized,2,80,80,0.0,FALLBACK_OPTIMIZED,3,8.343799971044064,287796.30180000095
Univ_A_Centralized,3,80,80,0.0,FALLBACK_OPTIMIZED,3,9.325600054580718,198668.53929997887
Univ_A_Centralized,4,80,80,0.0,FALLBACK_OPTIMIZED,3,8.038499974645674,328524.3943000096
Univ_A_Centralized,5,80,80,0.0,FALLBACK_OPTIMIZED,3,8.99030000437051,332747.76550004026
Univ_A_Centralized,6,80,80,0.0,FALLBACK_OPTIMIZED,3,9.244899963960052,326812.1395999915
Univ_A_Centralized,7,80,4,0.9278,MAS_VERIFIED,3,9.258599951863289,298069.6674999781
Univ_A_Centralized,8,80,4,0.9383,MAS_VERIFIED,2,5.475900019519031,146817.97450000886
Univ_B_Elective,1,120,120,0.0,FALLBACK_OPTIMIZED,3,6.860999972559512,199154.20180000365
Univ_B_Elective,2,120,120,0.0,FALLBACK_OPTIMIZED,3,5.826899956446141,18552398.662399966
Univ_B_Elective,3,120,120,0.0,FALLBACK_OPTIMIZED,3,5.90130005730316,534198.6461000051
Univ_B_Elective,4,120,120,0.0,FALLBACK_OPTIMIZED,3,5.5133000132627785,382289.19869998936
Univ_B_Elective,5,120,2,0.983,MAS_VERIFIED,2,5.431200028397143,206013.74550000764
Univ_B_Elective,6,120,120,0.0,FALLBACK_OPTIMIZED,3,6.042500026524067,413808.1011000322
Univ_B_Elective,7,120,120,0.0,FALLBACK_OPTIMIZED,3,6.769599916879088,330353.530900029
Univ_B_Elective,8,120,120,0.0,FALLBACK_OPTIMIZED,3,6.519399990793318,297157.6826000237
